============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rB
R2 c0 b564 m9400 rB
R3 c-1 b445 m8836 rL
R4 c-2 b400 m7946 rW
R5 c-3 b336 m8346 rL
R6 c-1 b385 m7674 rS
R7 c-2 b375 m7481.5 rB
R8 c-2 b360 m7106.5 rU
R9 c-3 b300 m7466.5 rB
R10 c-2 b360 m7166.5 rU
R11 c-3 b304 m7526.5 rS
R12 c-3 b296 m7374.5 rW
R13 c-4 b231 m7670.5 rL
R14 c-3 b300 m7439.5 rJ
R15 c-3 b316 m7889.5 rS
R16 c-3 b312 m7731.5 rL
R17 c-4 b225 m7419.5 rW
R18 c-3 b308 m7644.5 rH
R19 c-2 b370 m7336.5 rL
R20 c-1 b350 m6966.5 rW
R21 c0 b462 m7666.5 rB
R22 c-1 b365 m7204.5 rW
R23 c-1 b380 m7569.5 rL
R24 c-1 b360 m7189.5 rB
R25 c-2 b345 m6829.5 rS
R26 c-2 b335 m6657.0 rD
R27 c-2 b335 m6657.0 rD
R28 c-3 b268 m6657.0 rL
R29 c-1 b320 m6389.0 rB
R30 c-2 b305 m6069.0 rW
R31 c-2 b320 m6374.0 rU
R32 c-1 b335 m6694.0 rU
R33 c0 b497 m7029.0 rW
R34 c0 b456 m7526.0 rL
R35 c-1 b355 m7070.0 rW
R36 c-1 b375 m7425.0 rJ
R37 c-1 b400 m7988.0 rL
R38 c0 b432 m7188.0 rD
R39 c0 b432 m7188.0 rU
R40 c-1 b385 m7620.0 rU
R41 c-1 b420 m8390.0 rJ
R42 c-2 b455 m9020.0 rL
R43 c-1 b430 m8565.0 rL
R44 c-1 b410 m8135.0 rW
R45 c-2 b430 m8545.0 rD
R46 c-1 b430 m8545.0 rW
R47 c-2 b450 m8975.0 rW
R48 c-1 b495 m9875.0 rU
R49 c-2 b520 m10370.0 rW
R50 c-2 b545 m10890.0 rL
R51 c-1 b520 m10345.0 rW
R52 c-2 b545 m10865.0 rU
R53 c-2 b575 m11410.0 rB
R54 c-3 b436 m10835.0 rH
R55 c-2 b500 m9963.0 rL
R56 c-2 b475 m9463.0 rD
R57 c-2 b475 m9463.0 rD
R58 c-2 b475 m9463.0 rW
R59 c-1 b500 m9938.0 rL
R60 c-2 b475 m9438.0 rB
R61 c-2 b450 m8963.0 rW
R62 c-3 b380 m9413.0 rU
R63 c-2 b490 m9793.0 rL
R64 c0 b564 m9303.0 rW
R65 c0 b630 m10431.0 rU
R66 c-1 b555 m11061.0 rL
R67 c0 b636 m10506.0 rB
R68 c0 b693 m9870.0 rB
R69 c0 b552 m9177.0 rB
R70 c-1 b435 m8625.0 rW
R71 c0 b546 m9060.0 rB
R72 c0 b602 m8514.0 rB
R73 c0 b560 m7912.0 rW
R74 c0 b510 m8472.0 rW
R75 c0 b540 m8982.0 rU
R76 c-1 b480 m9522.0 rH
R77 c-1 b430 m8562.0 rS
R78 c-1 b420 m8347.0 rU
R79 c-1 b440 m8767.0 rS
R80 c-2 b430 m8547.0 rU
R81 c-2 b450 m8977.0 rL
R82 c-3 b344 m8527.0 rL
R83 c-2 b410 m8183.0 rL
R84 c-2 b390 m7773.0 rU
R85 c-3 b328 m8163.0 rU
R86 c-2 b425 m8491.0 rS
R87 c-2 b415 m8278.5 rD
R88 c-3 b332 m8278.5 rL
R89 c-4 b240 m7946.5 rL
R90 c-3 b300 m7466.5 rW
R91 c-4 b234 m7766.5 rS
R92 c-4 b231 m7649.5 rU
R93 c-4 b237 m7880.5 rW
R94 c-3 b336 m8354.5 rL
R95 c-3 b308 m7682.5 rL
R96 c-4 b222 m7374.5 rL
R97 c-2 b360 m7152.5 rB
R98 c-2 b340 m6792.5 rU
R99 c-2 b360 m7132.5 rW
R100 c-1 b375 m7492.5 rS
R101 c-2 b370 m7305.0 rJ
R102 c-3 b316 m7860.0 rD
R103 c-3 b316 m7860.0 rJ
R104 c-4 b252 m8334.0 rH
R105 c-3 b324 m8082.0 rW
R106 c-2 b440 m8730.0 rL
R107 c-4 b249 m8290.0 rB
R108 c-3 b324 m8041.0 rU
R109 c-1 b420 m8365.0 rU
R110 c-2 b440 m8785.0 rU
R111 c-2 b465 m9225.0 rH
R112 c-2 b440 m8760.0 rD
R113 c-1 b440 m8760.0 rS
