============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: H
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rH
R2 c0 b658 m9400 rW
R3 c-1 b505 m10058 rW
R4 c-1 b530 m10563 rJ
R5 c-1 b570 m11358 rW
R6 c-3 b480 m11928 rD
R7 c-4 b360 m11928 rB
R8 c-5 b348 m11568 rD
R9 c-6 b232 m11568 rW
R10 c-5 b363 m12032 rU
R11 c-5 b372 m12395 rS
R12 c-6 b246 m12209.0 rH
R13 c-4 b354 m11717.0 rB
R14 c-3 b456 m11363.0 rB
R15 c-4 b330 m10907.0 rU
R16 c-4 b339 m11237.0 rW
R17 c-3 b464 m11576.0 rL
R18 c-3 b448 m11112.0 rD
R19 c-3 b448 m11112.0 rH
R20 c-2 b535 m10664.0 rL
R21 c0 b672 m9594.0 rD
R22 c-1 b480 m9594.0 rB
R23 c0 b552 m9114.0 rH
R24 c0 b486 m8010.0 rL
R25 c1 b497 m7038.0 rL
R26 c0 b462 m6541.0 rD
R27 c0 b462 m6541.0 rU
R28 c0 b426 m7003.0 rL
R29 c0 b396 m6577.0 rJ
R30 c0 b504 m7171.0 rD
R31 c-1 b360 m7171.0 rL
R32 c0 b483 m6811.0 rH
R33 c2 b576 m6328.0 rW
R34 c2 b630 m6904.0 rU
R35 c1 b608 m7534.0 rU
R36 c0 b574 m8142.0 rL
R37 c0 b456 m7568.0 rS
R38 c-1 b370 m7340.0 rD
R39 c0 b444 m7340.0 rB
R40 c-1 b345 m6896.0 rL
R41 c0 b378 m6206.0 rL
R42 c-1 b295 m5828.0 rL
R43 c0 b336 m5533.0 rL
R44 c0 b294 m4861.0 rU
R45 c-1 b260 m5155.0 rB
R46 c-2 b245 m4895.0 rL
R47 c-1 b235 m4650.0 rU
R48 c0 b294 m4885.0 rS
R49 c0 b288 m4738.0 rW
R50 c0 b324 m5314.0 rL
R51 c0 b282 m4666.0 rJ
R52 c0 b306 m5089.0 rS
R53 c0 b300 m4936.0 rU
R54 c1 b371 m5236.0 rU
R55 c0 b342 m5607.0 rL
R56 c0 b371 m5265.0 rB
R57 c0 b343 m4894.0 rH
R58 c0 b276 m4551.0 rU
R59 c-1 b245 m4827.0 rB
R60 c-1 b230 m4582.0 rS
R61 c-2 b225 m4467.0 rU
R62 c-1 b250 m4917.0 rU
R63 c0 b312 m5167.0 rL
R64 c0 b343 m4855.0 rU
R65 c0 b392 m5541.0 rW
R66 c1 b448 m6325.0 rS
R67 c0 b434 m6101.0 rU
R68 c1 b462 m6535.0 rU
R69 c0 b490 m6997.0 rW
R70 c1 b525 m7487.0 rL
R71 c0 b490 m6962.0 rS
R72 c0 b476 m6717.0 rH
R73 c0 b441 m6241.0 rH
R74 c2 b464 m5800.0 rW
R75 c2 b567 m6264.0 rS
R76 c2 b540 m5980.5 rH
R77 c3 b495 m5440.5 rB
R78 c2 b450 m4945.5 rL
R79 c3 b405 m4495.5 rL
R80 c2 b328 m4090.5 rS
R81 c1 b320 m3926.5 rJ
R82 c0 b315 m4406.5 rH
R83 c0 b287 m4091.5 rB
R84 c0 b273 m3804.5 rL
R85 c1 b252 m3531.5 rB
R86 c0 b231 m3279.5 rW
R87 c1 b304 m3741.5 rS
R88 c1 b288 m3589.5 rS
R89 c1 b245 m3445.5 rJ
R90 c0 b234 m3813.5 rJ
R91 c0 b294 m4164.5 rH
R92 c0 b252 m3576.5 rH
R93 c0 b238 m3324.5 rU
R94 c0 b216 m3562.5 rL
R95 c0 b238 m3346.5 rW
R96 c0 b273 m3822.5 rS
R97 c0 b259 m3686.0 rB
R98 c0 b210 m3427.0 rU
R99 c-1 b185 m3637.0 rL
R100 c0 b245 m3452.0 rU
R101 c0 b280 m3942.0 rL
R102 c0 b238 m3382.0 rL
R103 c0 b210 m2906.0 rL
R104 c0 b162 m2696.0 rB
R105 c-1 b130 m2534.0 rW
R106 c-2 b135 m2664.0 rS
R107 c-3 b104 m2596.5 rH
R108 c-2 b125 m2492.5 rD
R109 c-3 b100 m2492.5 rJ
R110 c-4 b81 m2642.5 rL
R111 c-3 b104 m2561.5 rU
R112 c-3 b108 m2665.5 rL
R113 c-3 b104 m2557.5 rU
R114 c-2 b135 m2661.5 rL
R115 c-1 b130 m2526.5 rU
R116 c-1 b140 m2786.5 rW
R117 c-3 b120 m2926.5 rD
R118 c-2 b150 m2926.5 rU
R119 c-2 b155 m3076.5 rU
R120 c-2 b165 m3231.5 rS
R121 c-2 b160 m3149.0 rW
R122 c-1 b175 m3469.0 rL
R123 c0 b192 m3119.0 rS
R124 c0 b186 m3023.0 rB
R125 c0 b174 m2837.0 rL
R126 c2 b225 m2489.0 rS
R127 c2 b216 m2376.5 rU
R128 c1 b208 m2592.5 rU
R129 c1 b248 m3008.5 rL
R130 c2 b252 m2760.5 rU
R131 c1 b248 m3012.5 rL
R132 c2 b224 m2764.5 rB
R133 c1 b182 m2540.5 rU
R134 c0 b196 m2722.5 rB
R135 c0 b156 m2526.5 rL
R136 c1 b184 m2214.5 rW
R137 c0 b144 m2398.5 rU
R138 c0 b182 m2542.5 rW
R139 c0 b168 m2724.5 rL
R140 c0 b156 m2556.5 rU
R141 c-1 b140 m2712.5 rU
R142 c0 b174 m2852.5 rW
R143 c0 b186 m3026.5 rU
R144 c-1 b165 m3212.5 rU
R145 c-2 b170 m3377.5 rD
R146 c-4 b102 m3377.5 rH
R147 c-4 b99 m3275.5 rW
R148 c-3 b136 m3374.5 rH
R149 c-5 b99 m3238.5 rW
R150 c-3 b140 m3436.5 rU
R151 c-3 b144 m3576.5 rL
R152 c-4 b99 m3288.5 rU
R153 c-3 b136 m3387.5 rW
R154 c-2 b185 m3659.5 rL
R155 c0 b210 m3474.5 rL
R156 c-1 b155 m3054.5 rU
R157 c-1 b165 m3209.5 rL
R158 c0 b186 m3044.5 rW
R159 c-2 b165 m3230.5 rH
R160 c-1 b155 m3065.5 rU
R161 c-1 b165 m3220.5 rH
R162 c-1 b155 m3055.5 rW
R163 c-3 b132 m3210.5 rW
R164 c-4 b102 m3342.5 rL
R165 c-5 b99 m3240.5 rL
R166 c-4 b96 m3141.5 rL
R167 c-6 b62 m3045.5 rU
R168 c-5 b96 m3107.5 rL
R169 c-3 b124 m3011.5 rS
R170 c-4 b90 m2949.5 rU
R171 c-3 b124 m3039.5 rH
R172 c-3 b112 m2791.5 rL
R173 c-2 b130 m2567.5 rD
R174 c-4 b78 m2567.5 rJ
R175 c-4 b81 m2684.5 rW
R176 c-4 b87 m2846.5 rL
R177 c-3 b112 m2759.5 rS
R178 c-4 b84 m2703.5 rW
R179 c-4 b84 m2787.5 rB
R180 c-3 b112 m2703.5 rD
R181 c-3 b112 m2703.5 rU
R182 c-2 b150 m2927.5 rS
R183 c-2 b145 m2852.5 rW
R184 c-2 b150 m2997.5 rD
R185 c-1 b150 m2997.5 rB
R186 c-2 b145 m2847.5 rH
R187 c-1 b130 m2557.5 rU
R188 c-1 b135 m2687.5 rU
R189 c0 b174 m2822.5 rL
R190 c0 b189 m2648.5 rU
R191 c0 b217 m3026.5 rU
R192 c0 b231 m3243.5 rH
R193 c-1 b155 m3012.5 rU
R194 c-1 b160 m3167.5 rL
R195 c0 b217 m3007.5 rW
R196 c0 b231 m3224.5 rW
R197 c0 b259 m3686.5 rU
R198 c-1 b200 m3945.5 rB
R199 c-1 b190 m3745.5 rU
R200 c-1 b200 m3935.5 rL
R201 c-1 b190 m3735.5 rW
R202 c-2 b200 m3925.5 rL
R203 c-2 b190 m3725.5 rW
R204 c-1 b210 m4105.5 rD
R205 c-1 b210 m4105.5 rL
R206 c-2 b195 m3895.5 rU
R207 c-1 b205 m4090.5 rS
R208 c-1 b200 m3988.0 rB
R209 c-2 b190 m3788.0 rU
R210 c-1 b210 m4168.0 rU
R211 c-2 b220 m4378.0 rU
R212 c-3 b184 m4598.0 rJ
R213 c-4 b147 m4874.0 rW
R214 c-5 b153 m5021.0 rU
R215 c-4 b156 m5174.0 rU
R216 c-5 b165 m5486.0 rL
R217 c-4 b162 m5321.0 rL
R218 c-4 b156 m5159.0 rW
R219 c-4 b162 m5315.0 rW
R220 c-5 b165 m5477.0 rU
R221 c-3 b228 m5642.0 rD
R222 c-2 b285 m5642.0 rJ
R223 c-2 b305 m6070.0 rU
R224 c-1 b320 m6375.0 rD
R225 c-2 b320 m6375.0 rU
R226 c-2 b335 m6695.0 rW
R227 c-4 b213 m7030.0 rU
R228 c-2 b375 m7456.0 rD
R229 c-2 b375 m7456.0 rH
R230 c0 b408 m6706.0 rH
R231 c-1 b315 m6298.0 rB
R232 c-1 b300 m5983.0 rL
R233 c-1 b285 m5683.0 rD
R234 c-2 b285 m5683.0 rH
R235 c-2 b270 m5398.0 rH
R236 c-1 b260 m5128.0 rL
R237 c-1 b235 m4608.0 rW
R238 c-1 b245 m4843.0 rW
R239 c-2 b255 m5088.0 rH
R240 c-2 b245 m4833.0 rW
R241 c-2 b255 m5078.0 rB
R242 c-2 b245 m4823.0 rL
R243 c-3 b184 m4578.0 rS
R244 c-2 b225 m4486.0 rH
R245 c-2 b215 m4261.0 rS
R246 c-2 b210 m4153.5 rW
R247 c-1 b220 m4363.5 rL
R248 c-1 b210 m4143.5 rL
R249 c-2 b200 m3933.5 rB
R250 c-2 b190 m3733.5 rS
R251 c-3 b148 m3638.5 rD
R252 c-2 b185 m3638.5 rJ
