============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rW
R2 c0 b636 m10600 rW
R3 c-3 b452 m11236 rU
R4 c-2 b585 m11688 rW
R5 c0 b738 m12273 rL
R6 c1 b756 m10797 rH
R7 c0 b606 m10041 rD
R8 c0 b606 m10041 rL
R9 c0 b570 m9435 rL
R10 c2 b664 m8295 rL
R11 c0 b539 m7631 rB
R12 c0 b426 m7092 rW
R13 c-1 b380 m7518 rW
R14 c-2 b395 m7898 rW
R15 c-1 b415 m8293 rS
R16 c-2 b405 m8085.5 rU
R17 c-2 b425 m8490.5 rS
R18 c-3 b332 m8278.0 rB
R19 c-6 b160 m7946.0 rL
R20 c-2 b390 m7786.0 rW
R21 c-4 b246 m8176.0 rB
R22 c-5 b240 m7930.0 rW
R23 c-6 b164 m8170.0 rU
R24 c-4 b255 m8498.0 rW
R25 c-4 b264 m8753.0 rS
R26 c-5 b261 m8621.0 rU
R27 c-3 b368 m9143.0 rW
R28 c-4 b288 m9511.0 rS
R29 c-2 b470 m9367.0 rL
R30 c-4 b267 m8897.0 rH
R31 c-5 b261 m8630.0 rU
R32 c-5 b267 m8891.0 rW
R33 c-7 b184 m9158.0 rH
R34 c-8 b90 m8974.0 rU
R35 c-7 b182 m9064.0 rU
R36 c-7 b190 m9428.0 rH
R37 c-7 b186 m9238.0 rL
R38 c-6 b182 m9052.0 rL
R39 c-4 b267 m8870.0 rB
R40 c-3 b348 m8603.0 rU
R41 c-6 b180 m8951.0 rL
R42 c-5 b264 m8771.0 rW
R43 c-5 b273 m9035.0 rU
R44 c-3 b376 m9308.0 rW
R45 c-3 b388 m9684.0 rL
R46 c-1 b465 m9296.0 rH
R47 c-1 b445 m8831.0 rS
R48 c-2 b435 m8608.5 rU
R49 c-2 b455 m9043.5 rW
R50 c-3 b380 m9498.5 rW
R51 c-3 b396 m9878.5 rL
R52 c0 b570 m9482.5 rB
R53 c1 b630 m8912.5 rJ
R54 c1 b693 m9857.5 rJ
R55 c2 b872 m10897.5 rS
R56 c1 b735 m10461.5 rD
R57 c-1 b525 m10461.5 rU
R58 c-2 b550 m10986.5 rS
R59 c-1 b540 m10711.5 rU
R60 c-3 b452 m11251.5 rL
R61 c-5 b324 m10799.5 rW
R62 c-6 b224 m11123.5 rL
R63 c-3 b436 m10899.5 rL
R64 c-4 b303 m10027.5 rU
R65 c-3 b416 m10330.5 rL
R66 c-6 b200 m9914.5 rL
R67 c-3 b392 m9714.5 rU
R68 c-3 b408 m10106.5 rD
R69 c-1 b510 m10106.5 rS
R70 c-2 b495 m9851.5 rW
R71 c-3 b416 m10346.5 rU
R72 c-5 b324 m10762.5 rW
R73 c-3 b460 m11410.5 rH
R74 c-3 b440 m10950.5 rW
R75 c-3 b456 m11390.5 rU
R76 c-3 b476 m11846.5 rW
R77 c-3 b512 m12798.5 rW
R78 c-1 b670 m13310.5 rL
R79 c-2 b635 m12640.5 rW
R80 c-2 b665 m13275.5 rS
