============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: K
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rB
R2 c0 b564 m9400 rL
R3 c-1 b445 m8836 rS
R4 c-2 b435 m8613.5 rU
R5 c-1 b455 m9048.5 rL
R6 c-2 b430 m8593.5 rL
R7 c-1 b410 m8163.5 rB
R8 c0 b468 m7753.5 rL
R9 c1 b483 m6817.5 rU
R10 c0 b518 m7300.5 rL
R11 c1 b476 m6782.5 rW
R12 c0 b438 m7258.5 rB
R13 c-1 b345 m6820.5 rU
R14 c0 b432 m7165.5 rW
R15 c-2 b380 m7597.5 rL
R16 c0 b438 m7217.5 rL
R17 c0 b476 m6779.5 rW
R18 c0 b511 m7255.5 rU
R19 c0 b468 m7766.5 rW
R20 c0 b498 m8234.5 rW
R21 c0 b558 m9230.5 rB
R22 c0 b522 m8672.5 rU
R23 c0 b552 m9194.5 rL
R24 c0 b609 m8642.5 rS
R25 c0 b588 m8338.0 rL
R26 c1 b546 m7750.0 rH
R27 c0 b438 m7204.0 rS
R28 c0 b420 m6985.0 rU
R29 c1 b525 m7405.0 rL
R30 c0 b414 m6880.0 rJ
R31 c0 b456 m7501.0 rD
R32 c0 b456 m7501.0 rH
R33 c1 b568 m7045.0 rU
R34 c0 b539 m7613.0 rB
R35 c0 b426 m7074.0 rB
R36 c-1 b335 m6648.0 rL
R37 c0 b384 m6313.0 rH
R38 c-1 b300 m5929.0 rJ
R39 c0 b384 m6379.0 rL
R40 c0 b420 m5995.0 rW
R41 c0 b390 m6415.0 rH
R42 c0 b427 m6025.0 rW
R43 c0 b390 m6452.0 rB
R44 c-1 b305 m6062.0 rL
R45 c-1 b290 m5757.0 rW
R46 c0 b427 m6047.0 rU
R47 c0 b390 m6474.0 rD
R48 c-1 b325 m6474.0 rW
R49 c-3 b272 m6799.0 rU
R50 c-3 b284 m7071.0 rL
R51 c-2 b340 m6787.0 rW
R52 c-3 b288 m7127.0 rU
R53 c-2 b375 m7415.0 rU
R54 c-2 b390 m7790.0 rB
R55 c-3 b296 m7400.0 rU
R56 c-2 b385 m7696.0 rL
R57 c-2 b370 m7311.0 rU
R58 c-2 b385 m7681.0 rB
R59 c-3 b292 m7296.0 rU
R60 c-1 b380 m7588.0 rW
R61 c-1 b400 m7968.0 rW
R62 c-1 b440 m8768.0 rB
R63 c0 b504 m8328.0 rU
R64 c-1 b445 m8832.0 rS
R65 c-1 b435 m8609.5 rW
R66 c-1 b455 m9044.5 rJ
R67 c-2 b490 m9727.5 rH
R68 c-2 b465 m9237.5 rD
R69 c-3 b372 m9237.5 rU
R70 c-4 b291 m9609.5 rL
R71 c-4 b282 m9318.5 rU
R72 c-4 b291 m9600.5 rW
R73 c-3 b396 m9891.5 rH
R74 c-2 b475 m9495.5 rL
R75 c-1 b430 m8545.5 rD
R76 c-2 b430 m8545.5 rH
R77 c-2 b410 m8115.5 rD
R78 c-2 b410 m8115.5 rL
R79 c0 b468 m7705.5 rB
R80 c1 b511 m7237.5 rD
R81 c-1 b365 m7237.5 rU
R82 c0 b462 m7602.5 rU
R83 c-2 b405 m8064.5 rW
R84 c-2 b425 m8469.5 rD
R85 c-4 b255 m8469.5 rU
R86 c-6 b176 m8724.5 rB
R87 c-5 b258 m8548.5 rH
R88 c-5 b249 m8290.5 rW
R89 c-5 b258 m8539.5 rL
R90 c-5 b249 m8281.5 rH
R91 c-5 b243 m8032.5 rL
R92 c-4 b234 m7789.5 rU
R93 c-3 b324 m8023.5 rU
R94 c-3 b336 m8347.5 rS
R95 c-4 b246 m8179.5 rD
R96 c-2 b410 m8179.5 rU
R97 c-1 b450 m8999.5 rW
R98 c-1 b475 m9449.5 rD
R99 c-2 b475 m9449.5 rW
R100 c0 b624 m10399.5 rS
R101 c0 b606 m10087.5 rD
R102 c1 b707 m10087.5 rL
R103 c3 b783 m8673.5 rW
R104 c2 b855 m9456.5 rL
R105 c1 b696 m8601.5 rW
R106 c1 b744 m9297.5 rW
R107 c2 b808 m10041.5 rL
R108 c2 b837 m9233.5 rB
R109 c3 b756 m8396.5 rW
R110 c2 b828 m9152.5 rH
R111 c1 b588 m8324.5 rJ
R112 c1 b651 m9206.5 rU
R113 c0 b693 m9857.5 rW
R114 c0 b636 m10550.5 rU
R115 c-1 b560 m11186.5 rW
R116 c0 b708 m11746.5 rU
R117 c0 b750 m12454.5 rL
R118 c-2 b590 m11704.5 rL
R119 c-1 b560 m11114.5 rL
R120 c-1 b500 m9994.5 rD
R121 c-1 b500 m9994.5 rS
R122 c-2 b490 m9744.5 rW
R123 c1 b756 m10724.5 rB
R124 c0 b700 m9968.5 rW
R125 c2 b856 m10668.5 rL
R126 c0 b693 m9812.5 rB
R127 c0 b552 m9119.5 rH
R128 c-2 b430 m8567.5 rU
R129 c-2 b450 m8997.5 rU
R130 c-1 b475 m9447.5 rS
R131 c-1 b465 m9210.0 rS
R132 c-1 b450 m8977.5 rW
R133 c-1 b475 m9427.5 rU
R134 c0 b600 m9902.5 rL
R135 c0 b564 m9302.5 rB
R136 c0 b616 m8738.5 rB
R137 c0 b492 m8122.5 rL
R138 c-1 b385 m7630.5 rS
