============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: Z
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rB
R2 c0 b564 m9400 rB
R3 c0 b623 m8836 rU
R4 c2 b760 m9459 rB
R5 c0 b609 m8699 rS
R6 c0 b504 m8394.5 rU
R7 c-2 b445 m8898.5 rL
R8 c-1 b405 m8008.5 rU
R9 c-3 b340 m8413.5 rU
R10 c-5 b264 m8753.5 rU
R11 c-3 b372 m9281.5 rD
R12 c-2 b465 m9281.5 rH
R13 c0 b504 m8351.5 rH
R14 c-2 b395 m7847.5 rW
R15 c-1 b415 m8242.5 rS
R16 c-1 b405 m8035.0 rU
R17 c-4 b255 m8440.0 rL
R18 c-3 b328 m8185.0 rW
R19 c-3 b344 m8513.0 rB
R20 c-4 b246 m8169.0 rD
R21 c-2 b410 m8169.0 rB
R22 c-3 b312 m7759.0 rW
R23 c-3 b324 m8071.0 rH
R24 c-2 b390 m7747.0 rW
R25 c-1 b410 m8137.0 rW
R26 c-4 b258 m8547.0 rL
R27 c-6 b166 m8289.0 rU
R28 c-6 b170 m8455.0 rU
R29 c-5 b261 m8625.0 rL
R30 c-1 b420 m8364.0 rL
R31 c-1 b400 m7944.0 rU
R32 c0 b504 m8344.0 rD
R33 c-4 b252 m8344.0 rW
R34 c-3 b356 m8848.0 rD
R35 c-5 b267 m8848.0 rB
R36 c-5 b258 m8581.0 rD
R37 c-6 b172 m8581.0 rH
R38 c-4 b255 m8409.0 rL
R39 c-7 b164 m8154.0 rL
R40 c-4 b237 m7826.0 rL
R41 c-1 b370 m7352.0 rJ
R42 c-1 b400 m7907.0 rB
R43 c-2 b380 m7507.0 rJ
R44 c-5 b243 m8077.0 rS
R45 c-5 b240 m7955.5 rL
R46 c-5 b234 m7715.5 rW
R47 c-3 b328 m8183.5 rU
R48 c-5 b258 m8511.5 rL
R49 c-3 b332 m8253.5 rU
R50 c-6 b172 m8585.5 rS
