============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: Z
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rW
R2 c0 b636 m10600 rJ
R3 c-2 b580 m11554 rU
R4 c-3 b488 m12134 rL
R5 c-1 b585 m11646 rB
R6 c-1 b555 m11061 rL
R7 c-4 b318 m10506 rW
R8 c-2 b560 m11142 rU
R9 c2 b944 m11702 rH
R10 c4 b972 m10758 rB
R11 c1 b784 m9786 rL
R12 c3 b819 m9002 rL
R13 c3 b738 m8183 rD
R14 c2 b738 m8183 rW
R15 c1 b630 m8921 rL
R16 c2 b664 m8291 rB
R17 c2 b616 m7627 rL
R18 c2 b639 m7011 rL
R19 c2 b522 m5733 rS
R20 c2 b440 m5472.0 rU
R21 c1 b420 m5912.0 rB
R22 c0 b330 m5492.0 rW
R23 c-3 b236 m5822.0 rL
R24 c-1 b280 m5586.0 rW
R25 c0 b354 m5866.0 rU
R26 c1 b441 m6220.0 rH
R27 c-1 b290 m5779.0 rL
R28 c0 b330 m5489.0 rH
R29 c1 b364 m5159.0 rW
R30 c0 b392 m5523.0 rW
R31 c4 b576 m6307.0 rU
R32 c4 b750 m7459.0 rU
R33 c3 b747 m8209.0 rL
R34 c2 b600 m7462.0 rH
R35 c1 b552 m6862.0 rU
R36 c0 b525 m7414.0 rU
R37 c-1 b400 m7939.0 rD
R38 c-3 b320 m7939.0 rU
R39 c-4 b249 m8259.0 rW
R40 c-4 b258 m8508.0 rW
R41 c-1 b455 m9024.0 rU
R42 c-3 b380 m9479.0 rL
R43 c0 b546 m9099.0 rD
R44 c0 b546 m9099.0 rW
R45 c0 b582 m9645.0 rH
R46 c2 b680 m8481.0 rJ
R47 c4 b864 m9501.0 rL
R48 c4 b870 m8637.0 rU
R49 c8 b1056 m9507.0 rU
R50 c8 b1272 m10563.0 rJ
R51 c10 b1500 m12471.0 rW
R52 c9 b1680 m13971.0 rJ
